StationNbr,Name,City,RegionalOffice,County,ConnectDate,DisconnectDate,IsActive,IsEtoStation,Elevation,GroundCover,Lat,Long,ZipCodes,SitingDesc
163,Atascadero,Atascadero,Southern Region Office,San Luis Obispo,11/21/2000,12/31/2050,True,True,885,Grass,35.472556,-120.64814,"['93465', '93453', '93423', '93422']",
164,Valley of the Moon,Sonoma,North Central Region Office,Sonoma,4/1/2000,12/18/2001,False,True,155,Grass,38.311144,-122.49866,"['95676', '95433', '95416']",
165,Sisquoc,Santa Maria,Southern Region Office,Santa Barbara,4/26/2000,12/31/2050,True,True,536,Grass,34.841878,-120.21274,"['93458', '93457', '93456', '93455', '93454']",
166,Lodi West,Lodi,North Central Region Office,San Joaquin,9/13/2000,3/20/2015,False,True,25,Alfalfa,38.129933,-121.38659,"['95632', '95258', '95256', '95220', '95242', '95241', '95240']",
167,Tracy,Tracy,North Central Region Office,San Joaquin,9/1/2001,5/31/2017,False,True,82,Grass,37.725881,-121.47552,['95376'],
168,Denair,Denair,South Central Region Office,Stanislaus,8/28/2002,4/9/2009,False,True,140,Grass,37.553111,-120.77928,['95316'],
169,Porterville,Porterville,South Central Region Office,Tulare,8/2/2000,3/17/2023,False,True,400,Grass,36.082056,-119.09342,"['93270', '93267', '93258', '93257', '93247', '93218']",
170,Concord,Concord,North Central Region Office,Contra Costa,4/6/2001,12/31/2050,True,True,35,Grass,38.015372,-122.02028,"['94529', '94527', '94524', '94523', '94522', '94521', '94520', '94519', '94518']",
171,Union City,Union City,North Central Region Office,Alameda,2/5/2001,12/31/2050,True,True,16,Grass,37.598758,-122.05323,"['94536', '94537', '94538', '94539', '94555', '94587', '94544', '94557']",
172,Lost Hills NW,Lost Hills,South Central Region Office,Kern,7/26/2000,7/1/2003,False,False,225,Grass,35.733222,-119.74255,['93249'],
173,Torrey Pines,La Jolla,Southern Region Office,San Diego,11/29/2000,12/31/2050,True,True,335,Grass,32.901867,-117.25046,"['92093', '92092', '92039', '92038', '92037']",
174,Long Beach,Long Beach,Southern Region Office,Los Angeles,9/22/2000,12/31/2050,True,True,17,Grass,33.798697,-118.09479,"['90899', '90888', '90853', '90848', '90847', '90846', '90845', '90842', '90840', '90835', '90834', '90833', '90832', '90831', '90822', '90814', '90813', '90810', '90809', '90808', '90807', '90806', '90805', '90804', '90803', '90802', '90801', '90749', '90747', '90746', '90745']",
175,Palo Verde II,Palo Verde,Southern Region Office,Imperial,1/11/2001,12/31/2050,True,True,230,Alfalfa,33.383697,-114.71921,['92266'],
176,La Quinta,Indio,Southern Region Office,Riverside,11/10/2000,9/26/2006,False,True,42,Grass,33.685556,-116.30556,"['92253', '92211', '92210', '92203', '92202', '92201']",
177,Watsonville West,Watsonville,South Central Region Office,Santa Cruz,11/30/2000,3/22/2006,False,True,212,Grass,36.9,-121.81311,"['95077', '95076', '95075', '95019', '95018']",
178,Moraga,Moraga,North Central Region Office,Contra Costa,2/27/2002,12/31/2050,True,True,510,Grass,37.837614,-122.14074,['94595'],
179,Winchester,Winchester,Southern Region Office,Riverside,2/7/2002,12/31/2050,True,True,1626,Grass,33.663325,-117.09338,"['92596', '92584', '92548']",
180,Westmorland West,Westmorland,Southern Region Office,Imperial,11/8/2001,7/21/2003,False,True,-218,Alfalfa,33.124167,-115.80333,['92281'],
